alpha,th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
0.333,simple,1.05,0.4,7,2,0.57,0.14,1.0,1.0,2.114,2.861,0.4
0.333,simple,1.05,0.5,3,2,0.553,0.107,1.0,1.0,4.52,1.853,3.6
0.333,simple,1.05,0.5,5,2,0.553,0.107,1.0,1.0,5.58,3.538,3.9
0.333,simple,1.05,0.5,7,2,0.547,0.093,1.0,1.0,5.77,2.952,5.1
0.333,simple,1.05,0.6,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.05,0.6,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.05,0.6,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.05,0.7,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.05,0.7,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.05,0.7,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.05,0.8,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.05,0.8,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.05,0.8,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.05,0.9,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.05,0.9,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.05,0.9,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.05,1.0,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.05,1.0,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.05,1.0,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.1,0.1,3,2,0.783,0.568,1.0,1.0,7.58,11.223,1.8
0.333,simple,1.1,0.1,5,2,0.747,0.494,1.0,1.0,7.549,11.511,1.1
0.333,simple,1.1,0.1,7,2,0.737,0.474,1.0,1.0,8.57,11.636,2.6
0.333,simple,1.1,0.2,3,2,0.607,0.214,1.0,1.0,0.42,1.195,0.0
0.333,simple,1.1,0.2,5,2,0.607,0.214,1.0,1.0,0.429,1.205,0.0
0.333,simple,1.1,0.2,7,2,0.603,0.207,1.0,1.0,0.079,0.203,0.0
0.333,simple,1.1,0.3,3,2,0.603,0.207,1.0,1.0,0.67,1.097,0.0
0.333,simple,1.1,0.3,5,2,0.603,0.207,1.0,1.0,0.825,1.478,0.0
0.333,simple,1.1,0.3,7,2,0.603,0.207,1.0,1.0,0.948,1.634,0.0
0.333,simple,1.1,0.4,3,2,0.58,0.16,1.0,1.0,1.55,2.581,0.1
0.333,simple,1.1,0.4,5,2,0.57,0.141,1.0,1.0,1.717,2.369,0.2
0.333,simple,1.1,0.4,7,2,0.567,0.134,1.0,1.0,1.9,2.52,0.4
0.333,simple,1.1,0.5,3,2,0.55,0.1,1.0,1.0,4.533,1.462,3.8
0.333,simple,1.1,0.5,5,2,0.547,0.094,1.0,1.0,5.92,2.693,4.6
0.333,simple,1.1,0.5,7,2,0.533,0.068,1.0,1.0,10.85,1.036,10.7
0.333,simple,1.1,0.6,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.1,0.6,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.1,0.6,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.1,0.7,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.1,0.7,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.1,0.7,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.1,0.8,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.1,0.8,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.1,0.8,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.1,0.9,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.1,0.9,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.1,0.9,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.1,1.0,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.1,1.0,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.1,1.0,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.15,0.1,3,2,0.773,0.548,1.0,1.0,8.055,11.499,1.3
0.333,simple,1.15,0.1,5,2,0.743,0.487,1.0,1.0,8.346,12.194,1.9
0.333,simple,1.15,0.1,7,2,0.727,0.455,1.0,1.0,9.721,12.829,3.1
0.333,simple,1.15,0.2,3,2,0.603,0.207,1.0,1.0,0.079,0.203,0.0
0.333,simple,1.15,0.2,5,2,0.603,0.207,1.0,1.0,0.108,0.208,0.0
0.333,simple,1.15,0.2,7,2,0.603,0.207,1.0,1.0,0.137,0.278,0.0
0.333,simple,1.15,0.3,3,2,0.6,0.2,1.0,1.0,0.47,0.903,0.0
0.333,simple,1.15,0.3,5,2,0.6,0.2,1.0,1.0,0.698,1.43,0.0
0.333,simple,1.15,0.3,7,2,0.593,0.187,1.0,1.0,0.608,1.13,0.1
0.333,simple,1.15,0.4,3,2,0.573,0.148,1.0,1.0,1.283,2.126,0.1
0.333,simple,1.15,0.4,5,2,0.567,0.134,1.0,1.0,1.833,2.371,0.4
0.333,simple,1.15,0.4,7,2,0.563,0.127,1.0,1.0,0.567,0.635,0.4
0.333,simple,1.15,0.5,3,2,0.547,0.094,1.0,1.0,8.9,0.558,8.7
0.333,simple,1.15,0.5,5,2,0.547,0.094,1.0,1.0,10.72,2.693,9.4
0.333,simple,1.15,0.5,7,2,0.533,0.068,1.0,1.0,10.85,1.036,10.7
0.333,simple,1.15,0.6,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.15,0.6,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.15,0.6,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.15,0.7,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.15,0.7,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.15,0.7,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.15,0.8,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.15,0.8,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.15,0.8,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.15,0.9,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.15,0.9,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.15,0.9,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.15,1.0,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.15,1.0,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.15,1.0,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,simple,1.2,0.1,3,2,0.76,0.521,1.0,1.0,8.011,11.827,1.2
0.333,simple,1.2,0.1,5,2,0.733,0.466,1.0,1.0,8.515,12.317,1.7
0.333,simple,1.2,0.1,7,2,0.71,0.421,1.0,1.0,9.25,12.732,0.6
