alpha,max_iter,th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
0.333,2000,simple,1.15,0.4,5,2,0.716,0.426,1.0,1.0,7.572,14.996,0.0
0.333,2000,simple,1.15,0.4,7,2,0.716,0.426,1.0,1.0,7.906,14.946,0.2
0.333,2000,simple,1.15,0.5,3,2,0.678,0.349,1.0,1.0,6.619,14.379,0.0
0.333,2000,simple,1.15,0.5,5,2,0.674,0.34,1.0,1.0,7.639,14.445,0.0
0.333,2000,simple,1.15,0.5,7,2,0.674,0.34,1.0,1.0,9.777,18.468,0.2
0.333,2000,simple,1.15,0.6,3,2,0.634,0.261,1.0,1.0,4.756,10.965,0.0
0.333,2000,simple,1.15,0.6,5,2,0.632,0.257,1.0,1.0,7.004,13.394,0.0
0.333,2000,simple,1.15,0.6,7,2,0.63,0.252,1.0,1.0,10.224,19.928,0.0
0.333,2000,simple,1.15,0.7,3,2,0.588,0.168,1.0,1.0,10.673,22.911,0.5
0.333,2000,simple,1.15,0.7,5,2,0.584,0.16,1.0,1.0,10.255,17.538,0.6
0.333,2000,simple,1.15,0.7,7,2,0.58,0.152,1.0,1.0,6.54,9.412,0.1
0.333,2000,simple,1.15,0.8,3,2,0.524,0.038,1.0,1.0,7.033,9.74,0.5
0.333,2000,simple,1.15,0.8,5,2,0.522,0.033,1.0,1.0,26.7,10.3,26.7
